Project Code,Data Type,RES_SEC,Date,Hour,Value
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,7,736.08
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,8,736.01
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,9,736.01
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,10,736.01
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,11,736.002
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,12,735.996
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,13,735.994
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,14,735.984
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,15,735.981
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,16,735.973
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,17,735.98
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,18,735.973
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,19,735.966
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,20,735.959
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,21,735.952
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,22,735.945
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,23,735.938
LAJ,RSE,R1 - Downtown Reservoir,2010-01-12,24,735.931
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,1,735.924
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,2,735.92
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,3,735.907
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,4,735.91
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,5,735.894
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,6,735.894
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,7,735.89
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,8,735.882
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,9,735.871
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,10,735.861
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,11,735.862
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,12,735.854
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,13,735.852
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,14,735.848
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,15,735.841
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,16,735.838
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,17,735.831
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,18,735.83
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,19,735.82
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,20,735.81
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,21,735.81
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,22,735.81
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,23,735.781
LAJ,RSE,R1 - Downtown Reservoir,2010-01-13,24,735.785
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,1,735.776
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,2,735.777
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,3,735.761
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,4,735.764
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,5,735.758
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,6,735.759
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,7,735.744
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,8,735.732
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,9,735.737
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,10,735.723
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,11,735.712
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,12,735.713
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,13,735.704
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,14,735.7
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,15,735.7
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,16,735.689
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,17,735.689
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,18,735.67
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,19,735.677
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,20,735.663
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,21,735.666
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,22,735.652
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,23,735.654
LAJ,RSE,R1 - Downtown Reservoir,2010-01-14,24,735.644
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,1,735.646
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,2,735.63
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,3,735.623
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,4,735.625
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,5,735.617
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,6,735.617
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,7,735.614
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,8,735.602
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,9,735.608
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,10,735.609
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,11,735.606
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,12,735.598
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,13,735.582
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,14,735.583
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,15,735.578
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,16,735.571
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,17,735.57
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,18,735.561
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,19,735.551
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,20,735.542
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,21,735.545
LAJ,RSE,R1 - Downtown Reservoir,2010-01-15,22,735.538
